# Items: 101, Weight: 1000
# Index, Weight, Price
0 995 100
1 485 94
2 326 506
3 248 416
4 421 992
5 322 649
6 795 237
7 43 457
8 845 815
9 955 446
10 25230 422
11 9 791
12 901 359
13 122 667
14 94 598
15 738 7
16 574 544
17 715 334
18 882 766
19 367 994
20 984 893
21 299 633
22 433 131
23 682 428
24 72 700
25 874 617
26 138 874
27 856 720
28 145 419
29 995 794
30 529 196
31 199 997
32 277 116
33 97 908
34 719 539
35 242 707
36 107 569
37 122 537
38 70 931
39 98 726
40 600 487
41 645 772
42 267 513
43 972 81
44 895 943
45 213 58
46 748 303
47 487 764
48 923 536
49 29 724
50 674 789
51 540 479
52 554 142
53 467 339
54 46 641
55 710 196
56 553 494
57 191 66
58 724 824
59 730 208
60 988 711
61 90 800
62 340 314
63 549 289
64 196 401
65 865 466
66 678 689
67 570 833
68 936 225
69 722 244
70 651 849
71 123 113
72 431 379
73 508 361
74 585 65
75 853 486
76 642 686
77 992 286
78 725 889
79 286 24
80 812 491
81 859 891
82 663 90
83 88 181
84 179 214
85 187 17
86 619 472
87 261 418
88 846 419
89 192 356
90 261 682
91 514 306
92 886 201
93 530 385
94 849 952
95 294 500
96 799 194
97 391 737
98 330 324
99 298 992
100 790 224
