# Items: 45000, Weight: 11250000
# Index, Weight, Price
0 475 4485
1 620 3805
2 697 5218
3 467 9689
4 954 9053
5 802 9957
6 321 1195
7 103 4040
8 13 1913
9 451 8884
10 165 3100
11 72 3322
12 310 9271
13 60 1164
14 203 9319
15 929 5002
16 789 8957
17 207 1217
18 761 9681
19 770 7351
20 462 5515
21 943 729
22 123 8899
23 996 5883
24 222 7296
25 124 8183
26 906 8501
27 273 2164
28 48 3517
29 270 7498
30 775 9264
31 602 9780
32 572 8776
33 949 1081
34 758 3597
35 137 6426
36 766 3398
37 537 3902
38 561 595
39 226 3743
40 235 4746
41 130 3027
42 93 5623
43 56 4161
44 621 3571
45 96 8059
46 572 7214
47 163 6384
48 353 178
49 651 8890
50 283 8665
51 810 6590
52 528 1351
53 242 7966
54 919 2566
55 709 7565
56 212 8853
57 801 3800
58 115 4997
59 265 1681
60 442 4051
61 201 1487
62 715 6871
63 692 9896
64 292 495
65 770 6735
66 519 761
67 68 8289
68 656 6372
69 780 4026
70 691 2917
71 802 8719
72 664 5606
73 491 8227
74 592 2093
75 351 7703
76 965 7811
77 191 4671
78 667 3527
79 482 5706
80 992 7088
81 373 252
82 850 7754
83 467 3117
84 779 4213
85 923 6902
86 596 9802
87 565 6297
88 526 7213
89 186 9882
90 185 9391
91 775 2450
92 58 2086
93 650 7088
94 50 4083
95 548 5461
96 603 8367
97 318 1706
98 424 7359
99 333 4020
100 117 9826
101 180 9643
102 871 6953
103 438 8366
104 86 1405
105 310 2424
106 12 3775
107 895 9014
108 315 3
109 755 1440
110 278 8960
111 85 3532
112 906 1383
113 917 5206
114 638 4867
115 722 3589
116 742 9015
117 472 2988
118 53 4390
119 86 2524
120 854 7077
121 379 2293
122 585 3147
123 920 1800
124 110 6088
125 374 670
126 70 4712
127 846 9235
128 776 7821
129 769 7427
130 237 5727
131 949 7816
132 687 9277
133 814 4197
134 972 4337
135 938 1441
136 850 2567
137 360 1499
138 462 8524
139 556 7117
140 12 203
141 899 1108
142 869 1019
143 946 7364
144 925 7609
145 775 5363
146 610 9261
147 967 6512
148 550 9961
149 127 2867
150 875 2624
151 981 1378
152 234 1684
153 117 9464
154 298 9215
155 837 9083
156 481 3248
157 881 7851
158 321 3347
159 506 4176
160 443 3498
161 200 2455
162 442 2593
163 627 7608
164 205 9552
165 593 4240
166 814 395
167 654 3368
168 692 1536
169 344 9352
170 157 3137
171 94 4493
172 628 9760
173 23 2734
174 289 634
175 611 3398
176 203 4624
177 339 6753
178 462 3382
179 281 9508
180 41 2055
181 11 2918
182 62 5576
183 767 7908
184 771 6380
185 739 8207
186 333 3387
187 54 9341
188 748 717
189 944 2068
190 268 7098
191 130 7997
192 524 133
193 691 1402
194 9 2327
195 690 6294
196 453 6508
197 21 5377
198 247 9904
199 454 5288
200 497 773
201 461 1841
202 826 9586
203 335 2357
204 323 947
205 456 280
206 703 5060
207 844 2403
208 363 9300
209 487 9957
210 548 9231
211 571 5626
212 223 306
213 587 6299
214 779 4958
215 800 3684
216 702 2540
217 372 4007
218 863 4741
219 611 6109
220 456 2250
221 718 4054
222 729 993
223 271 6230
224 849 3768
225 711 1893
226 687 1218
227 907 8763
228 305 9837
229 829 8879
230 700 8963
231 292 8545
232 218 6341
233 157 9785
234 261 842
235 511 2484
236 16 7506
237 851 3583
238 168 2070
239 537 3439
240 970 223
241 874 7380
242 950 1869
243 986 4564
244 38 9320
245 715 4283
246 509 8744
247 596 2701
248 29 8757
249 475 1889
250 777 398
251 351 2865
252 480 6734
253 955 3234
254 625 1886
255 877 8221
256 292 233
257 718 2337
258 625 1649
259 155 7253
260 375 2850
261 855 2665
262 18 5194
263 504 8084
264 451 8057
265 370 2303
266 82 1229
267 228 9316
268 188 7420
269 911 7704
270 657 7670
271 288 8084
272 76 9472
273 42 2251
274 898 9734
275 472 2883
276 925 5512
277 668 2188
278 167 3818
279 756 6645
280 51 9001
281 683 3718
282 824 9323
283 521 6285
284 915 2471
285 972 8121
286 529 7017
287 346 835
288 715 99
289 396 6650
290 652 785
291 989 4311
292 411 2020
293 29 9835
294 358 3675
295 521 5566
296 342 8537
297 42 8934
298 325 9752
299 394 2091
300 229 2373
301 160 3420
302 894 7283
303 598 7922
304 474 6708
305 710 5084
306 800 3161
